Organism	TaxIDs	Considered	Kingdom	Phylum	Early	Interaction	OrganismInteracts	TypeInteraction
Lumbricus terrestris	6398	Other eukaryote	Animalia	Annelida	Doesn’t apply	No	None	None
Drosophila melanogaster	7227	Other eukaryote	Animalia	Arthropoda	Doesn’t apply	No	None	None
Ambystoma mexicanum	8296	Other eukaryote	Animalia	Chordata	Doesn’t apply	No	None	None
Ciona intestinalis	7719	Other eukaryote	Animalia	Chordata	Doesn’t apply	No	None	None
Danio rerio	7955	Other eukaryote	Animalia	Chordata	Doesn’t apply	No	None	None
Halocynthia roretzi	7729	Other eukaryote	Animalia	Chordata	Doesn’t apply	No	None	None
Homo sapiens	9606	Other eukaryote	Animalia	Chordata	Doesn’t apply	No	None	None
Mus musculus	10090	Other eukaryote	Animalia	Chordata	Doesn’t apply	No	None	None
Oikopleura dioica	34765	Other eukaryote	Animalia	Chordata	Doesn’t apply	No	None	None
Petromyzon marinus	7757	Other eukaryote	Animalia	Chordata	Doesn’t apply	No	None	None
Phainopepla nitens	161653	Other eukaryote	Animalia	Chordata	Doesn’t apply	No	None	None
Xenopus laevis	8355	Other eukaryote	Animalia	Chordata	Doesn’t apply	No	None	None
Hydra vulgaris	6087	Other eukaryote	Animalia	Cnidaria	Doesn’t apply	Yes	Animal	Predation
Porites lutea	51062	Other eukaryote	Animalia	Cnidaria	Doesn’t apply	Yes	Algae	Mutualism
Ancylostoma caninum	29170	Other eukaryote	Animalia	Nematoda	Doesn’t apply	Yes	Animal	Pathogen
Caenorhabditis elegans	6239	Other eukaryote	Animalia	Nematoda	Doesn’t apply	Yes	Bacteria	Predation
Geodia barretti	519541	Other eukaryote	Animalia	Porifera	Doesn’t apply	No	None	None
Halobacterium salinarum	2242	Prokaryote	Archaea	Halobacteriota	Doesn’t apply	No	None	None
Methanobrevibacter smithii	2173	Prokaryote	Archaea	Methanobacteriota	Doesn’t apply	Yes	Human	Commensalism
Sulfolobus acidocaldarius	2285	Prokaryote	Archaea	Thermoproteota	Doesn’t apply	No	None	None
Acidimicrobiia bacterium	2080302	Ocean bacteria	Bacteria	Actinomycetota	Doesn’t apply	No	None	None
Mycobacterium sp.	1785	Prokaryote	Bacteria	Actinomycetota	Doesn’t apply	Yes	Animal, Human	Pathogen
Rhodococcoides fascians	1828	Prokaryote	Bacteria	Actinomycetota	Doesn’t apply	Yes	Plant	Pathogen
Aquifex aeolicus	63363	Aquatic bacteria	Bacteria	Aquificota	Doesn’t apply	No	None	None
Bacillus subtilis	1423	Prokaryote	Bacteria	Bacillota	Doesn’t apply	Yes	Animal	Commensalism
Clostridiales bacterium	1898207	Prokaryote	Bacteria	Bacillota	Doesn’t apply	No	None	None
Enterococcus faecium	1352	Prokaryote	Bacteria	Bacillota	Doesn’t apply	Yes	Human	Pathogen
Enterococcus florum	2480627	Prokaryote	Bacteria	Bacillota	Doesn’t apply	No	None	None
Lactococcus lactis	1358	Prokaryote	Bacteria	Bacillota	Doesn’t apply	No	None	None
Listeria monocytogenes	1639	Prokaryote	Bacteria	Bacillota	Doesn’t apply	Yes	Animal, Human	Pathogen
Paenibacillus polymyxa	1406	Prokaryote	Bacteria	Bacillota	Doesn’t apply	No	None	None
Staphylococcus aureus	1280	Prokaryote	Bacteria	Bacillota	Doesn’t apply	Yes	Human	Pathogen
Anaerolineae bacterium	2052143	Prokaryote	Bacteria	Chloroflexota	Doesn’t apply	No	None	None
Ktedonospora formicarum	2778364	Prokaryote	Bacteria	Chloroflexota	Doesn’t apply	Yes	Insect	Commensalism
Gloeobacter violaceus	33072	Prokaryote	Bacteria	Cyanobacteriota	Doesn’t apply	No	None	None
