Lumbricus terrestris
Drosophila melanogaster
Ambystoma mexicanum
Ciona intestinalis
Danio rerio
Halocynthia roretzi
Homo sapiens
Mus musculus
Oikopleura dioica
Petromyzon marinus
Phainopepla nitens
Xenopus laevis
Hydra vulgaris
Porites lutea
Ancylostoma caninum
Caenorhabditis elegans
Geodia barretti
Halobacterium salinarum
Methanobrevibacter smithii
Sulfolobus acidocaldarius
Acidimicrobiia bacterium
Mycobacterium sp.
Rhodococcoides fascians
Aquifex aeolicus
Bacillus subtilis
Clostridiales bacterium
Enterococcus faecium
Enterococcus florum
Lactococcus lactis
Listeria monocytogenes
Paenibacillus polymyxa
Staphylococcus aureus
Anaerolineae bacterium
Ktedonospora formicarum
Gloeobacter violaceus
Nostoc punctiforme
Nostoc sp.
Oscillatoria sp.
Planktothrix agardhii
Synechocystis sp.
Trichormus variabilis
Deinococcus geothermalis
Deinococcus radiodurans
Gemmataceae bacterium
Isosphaera pallida
Agrobacterium radiobacter
Alphaproteobacteria bacterium
Escherichia coli
Helicobacter apodemus
Helicobacter pylori
Hypericibacter terrae
Pantoea agglomerans
Pseudomonas aeruginosa
Pseudomonas fluorescens
Pseudomonas putida
Pseudomonas savastanoi
Ralstonia nicotianae
Ralstonia solanacearum
Rickettsia conorii
Rickettsia prowazekii
Xanthomonas campestris
Thermotoga maritima
Plasmodium falciparum
Toxoplasma gondii
Achlya hypogyna
Phytophthora ramorum
Saprolegnia parasitica
Thraustotheca clavata
Amoeboaphelidium occidentale
Amoeboaphelidium protococcarum
Alternaria alternata
Antarctomyces pellizariae
Aspergillus fumigatus
Aspergillus nidulans
Aspergillus niger
Aspergillus oryzae
Beauveria asiatica
Beauveria bassiana
Botrytis cinerea
Botrytis fragariae
Candida albicans
Candida viswanathii
Claviceps purpurea
Clonostachys rosea
Colletotrichum gloeosporioides
Colletotrichum graminicola
Cordyceps militaris
Durotheca rogersii
Escovopsis weberi
Fusarium graminearum
Fusarium oxysporum
Fusarium pseudograminearum
Histoplasma capsulatum
Komagataella pastoris
Metarhizium brunneum
Metarhizium robertsii
Microsporum canis
Morchella sextelata
Neurospora crassa
Niesslia exilis
Oidiodendron maius
Ophiocordyceps sinensis
Penicillium chrysogenum
Pestalotiopsis fici
Plenodomus lingam
Podospora anserina
Podospora fimiseda
Pyricularia grisea
Pyricularia oryzae
Rhizina undulata
Saccharomyces cerevisiae
Saitoella coloradoensis
Sarocladium strictum
Schizosaccharomyces pombe
Sclerotinia sclerotiorum
Stachybotrys chartarum
Taphrina deformans
Tolypocladium paradoxum
Trichoderma arundinaceum
Trichoderma asperellum
Trichoderma atroviride
Trichoderma guizhouense
Trichoderma harzianum
Trichoderma longibrachiatum
Trichoderma parareesei
Trichoderma reesei
Trichoderma virens
Valetoniellopsis laxa
Xanthoria parietina
Xylaria polymorpha
Agaricus bisporus
Amanita muscaria
Cryptococcus neoformans
Hebeloma cylindrosporum
Laccaria amethystina
Laccaria bicolor
Moniliophthora perniciosa
Pleurotus ostreatus
Puccinia graminis
Rhizoctonia solani
Sanghuangporus baumii
Serendipita indica
Tricholoma vaccinum
Tulasnella irregularis
Ustilago maydis
Allomyces macrogynus
Catenaria anguillulae
Paraphysoderma sedebokerense
Anaeromyces robustus
Batrachochytrium dendrobatidis
Caecomyces churrovis
Chytriomyces confervae
Cladochytrium replicatum
Dinochytrium kinnereticum
Gonapodya prolifera
Hyaloraphidium curvatum
Irineochytrium annulatum
Neocallimastix cameroonii
Neocallimastix lanati
Phlyctochytrium bullatum
Piromyces finnis
Spizellomyces punctatus
Rozella allomycis
Entorrhiza parvula
Juncorrhiza aschersoniana
Juncorrhiza casparyana
Gigaspora margarita
Gigaspora rosea
Paraglomus occultum
Rhizophagus irregularis
Mitosporidium daphniae
Nematocida parisii
Ordospora pajunii
Calcarisporiella thermophila
Choanephora cucurbitarum
Dissophora ornata
Endogone sp.
Lobosporangium transversale
Modicella reniformis
Mortierella alpina
Mortierella antarctica
Mortierella elongata
Mortierella hyalina
Mucor circinelloides
Rhizopus microsporus
Rhizopus stolonifer
Umbelopsis ramanniana
Olpidium bornovanus
Olpidium brassicae
Amoeboradix gromovi
Sanchytrium tribonematis
Basidiobolus meristosporus
Basidiobolus ranarum
Coemansia erecta
Coemansia mojavensis
Coemansia reversa
Conidiobolus coronatus
Dimargaris cristalligena
Entomophthora muscae
Linderina pennispora
Neoconidiobolus thromboides
Pinnaticoemansia coronantispora
Ramicandelaber brevisporus
Smittium culicis
Chlamydomonas reinhardtii
Porphyra umbilicalis
Amborella trichopoda
Anthoceros punctatus
Arabidopsis thaliana
Brassica campestris
Capsella rubella
Chara braunii
Cryptomeria japonica
Cucumis sativus
Cuscuta campestris
Eutrema salsugineum
Hirschfeldia incana
Klebsormidium nitens
Marchantia polymorpha
Medicago truncatula
Oryza sativa
Phaseolus vulgaris
Physcomitrium patens
Selaginella moellendorffii
Solanum lycopersicum
Sphagnum fallax
Triticum aestivum
Zea mays
Acanthamoeba castellanii
Dictyostelium discoideum
Dictyostelium purpureum
Entamoeba dispar
